Date,Price,Open,High,Low,Amount,Return
2017/2/26,"1,171.60","1,149.10","1,177.50","1,130.60",30.77,0.01960000 
2017/2/27,"1,188.80","1,171.60","1,195.80","1,164.30",35.47,0.01470000 
2017/2/28,"1,189.30","1,188.80","1,208.20","1,175.80",50.58,0.00040000 
2017/3/1,"1,222.70","1,189.30","1,225.00","1,154.60",51.15,0.02810000 
2017/3/2,"1,255.50","1,222.70","1,287.00","1,212.00",78.49,0.02680000 
2017/3/3,"1,283.30","1,255.50","1,291.30","1,250.80",67.28,0.02220000 
2017/3/4,"1,264.30","1,283.30","1,285.80","1,228.70",38.42,-0.01480000 
2017/3/5,"1,271.20","1,264.30","1,273.30","1,242.10",25.43,0.00550000 
2017/3/6,"1,277.00","1,271.20","1,280.60","1,261.00",31.03,0.00460000 
2017/3/7,"1,232.70","1,277.00","1,280.90","1,148.70",87.72,-0.03470000 
2017/3/8,"1,147.00","1,232.70","1,242.00","1,136.90",97.88,-0.06950000 
2017/3/9,"1,191.30","1,147.00","1,207.00","1,129.30",59.86,0.03870000 
2017/3/10,"1,112.40","1,191.30","1,330.40",988.7,190.47,-0.06630000 
2017/3/11,"1,179.20","1,112.40","1,202.70","1,104.80",70.75,0.06010000 
2017/3/12,"1,225.10","1,179.20","1,235.50","1,160.90",44.41,0.03890000 
2017/3/13,"1,238.20","1,225.10","1,245.60","1,205.60",60.46,0.01070000 
2017/3/14,"1,243.10","1,238.20","1,255.50","1,218.40",45.14,0.00400000 
2017/3/15,"1,253.40","1,243.10","1,256.90","1,236.40",43.59,0.00830000 
2017/3/16,"1,172.90","1,253.40","1,260.20","1,119.00",132.77,-0.06430000 
2017/3/17,"1,071.70","1,172.90","1,174.90","1,063.50",163.74,-0.08630000 
2017/3/18,971.4,"1,071.70","1,103.60",940.2,210.42,-0.09360000 
2017/3/19,"1,022.60",971.4,"1,063.70",967.3,106.45,0.05270000 
2017/3/20,"1,047.50","1,022.60","1,057.50","1,005.00",61.43,0.02440000 
2017/3/21,"1,121.30","1,047.50","1,125.50","1,043.90",92.59,0.07040000 
2017/3/22,"1,044.70","1,121.30","1,121.90",997.8,115.29,-0.06830000 
2017/3/23,"1,035.00","1,044.70","1,062.80","1,022.00",56.52,-0.00930000 
2017/3/24,939.7,"1,035.00","1,038.40",927.3,132.6,-0.09210000 
2017/3/25,966.3,939.7,996,890.4,127.05,0.02830000 
2017/3/26,969.4,966.3,"1,004.30",946.7,85.33,0.00320000 
2017/3/27,"1,045.10",969.4,"1,048.80",961.8,91.26,0.07810000 
2017/3/28,"1,044.40","1,045.10","1,068.40","1,015.50",80,-0.00070000 
2017/3/29,"1,041.90","1,044.40","1,058.70","1,008.30",68.85,-0.00240000 
2017/3/30,"1,037.90","1,041.90","1,052.70","1,020.90",74.99,-0.00380000 
2017/3/31,"1,079.10","1,037.90","1,088.20","1,035.20",90.99,0.03970000 
2017/4/1,"1,086.10","1,079.10","1,103.70","1,067.50",50.66,0.00650000 
2017/4/2,"1,097.40","1,086.10","1,109.50","1,074.20",70.98,0.01040000 
2017/4/3,"1,147.60","1,097.40","1,157.90","1,095.60",98.5,0.04570000 
2017/4/4,"1,141.80","1,147.60","1,161.20","1,122.20",71,-0.00500000 
2017/4/5,"1,129.90","1,141.80","1,143.80","1,110.10",69.47,-0.01040000 
2017/4/6,"1,188.70","1,129.90","1,201.60","1,130.50",92.36,0.05210000 
2017/4/7,"1,190.50","1,188.70","1,201.20","1,173.20",59.75,0.00150000 
2017/4/8,"1,180.80","1,190.50","1,198.20","1,166.70",33.18,-0.00820000 
2017/4/9,"1,204.30","1,180.80","1,215.10","1,174.00",45.35,0.02000000 
2017/4/10,"1,206.70","1,204.30","1,214.90","1,194.80",40.01,0.00200000 
2017/4/11,"1,220.70","1,206.70","1,229.60","1,195.80",37.4,0.01160000 
